STAGE,id,select_type,table,type,possible_keys,key,key_len,ref,rows,Extra
BEFORE_INDEX,1,SIMPLE,emp_record_table,ALL,NULL,NULL,NULL,NULL,19,Using where
AFTER_INDEX,1,SIMPLE,emp_record_table,ref,idx_first_name,idx_first_name,203,const,1,Using index condition
